config,gene,rna_protein_correlation,rna_trust,n_candidates,n_pos_gold,n_pos_found,n_neg_gold,n_neg_found,P@3,Recall@3,NDCG@3,P@5,Recall@5,NDCG@5,P@10,Recall@10,NDCG@10,MRR,neg_sink,Jaccard_vs_A0@10_ties
A5_v3_structure,EGFR,0.8603799916945288,1.0,1513,3,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6666666666666666,0.3084274278260313,0.16666666666666666,0.7394179894179894,0.8181818181818182
A6_v3_full,EGFR,0.8603799916945288,1.0,1513,3,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6666666666666666,0.3084274278260313,0.16666666666666666,0.7394179894179894,0.8181818181818182
B0_rna_mean,ERBB2,0.8523795144850833,1.0,1513,3,3,0,0,0.3333333333333333,0.3333333333333333,0.2960819109658652,0.2,0.3333333333333333,0.2960819109658652,0.1,0.3333333333333333,0.2960819109658652,0.5,,0.6666666666666666
A0_team_baseline,ERBB2,0.8523795144850833,1.0,1513,3,3,0,0,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.2,0.3333333333333333,0.46927872602275644,0.1,0.3333333333333333,0.46927872602275644,1.0,,1.0
A1a_no_direct_protein,ERBB2,0.8523795144850833,1.0,1513,3,3,0,0,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.2,0.3333333333333333,0.46927872602275644,0.1,0.3333333333333333,0.46927872602275644,1.0,,0.6666666666666666
A1b_no_protein_evidence,ERBB2,0.8523795144850833,1.0,1513,3,3,0,0,0.3333333333333333,0.3333333333333333,0.2960819109658652,0.2,0.3333333333333333,0.2960819109658652,0.1,0.3333333333333333,0.2960819109658652,0.5,,0.5384615384615384
A2_no_confidence,ERBB2,0.8523795144850833,1.0,1513,3,3,0,0,0.3333333333333333,0.3333333333333333,0.2960819109658652,0.2,0.3333333333333333,0.2960819109658652,0.1,0.3333333333333333,0.2960819109658652,0.5,,0.5384615384615384
A3_equal_bio,ERBB2,0.8523795144850833,1.0,1513,3,3,0,0,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.2,0.3333333333333333,0.46927872602275644,0.1,0.3333333333333333,0.46927872602275644,1.0,,1.0
A3b_reversed_bio,ERBB2,0.8523795144850833,1.0,1513,3,3,0,0,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.2,0.3333333333333333,0.46927872602275644,0.1,0.3333333333333333,0.46927872602275644,1.0,,0.8181818181818182
A4_adaptive_trust,ERBB2,0.8523795144850833,1.0,1513,3,3,0,0,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.2,0.3333333333333333,0.46927872602275644,0.1,0.3333333333333333,0.46927872602275644,1.0,,1.0
A5_v3_structure,ERBB2,0.8523795144850833,1.0,1513,3,3,0,0,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.2,0.3333333333333333,0.46927872602275644,0.1,0.3333333333333333,0.46927872602275644,1.0,,0.8181818181818182
