config,rna_w,protein_w,confidence_w,protein_mode,P@3,Recall@3,NDCG@3,P@5,Recall@5,NDCG@5,P@10,Recall@10,NDCG@10,MRR,neg_sink,n_genes,n_gold_positive,n_positive_found,positive_coverage,n_gold_negative,n_negative_found,distance_to_A0,distance_to_A1a,delta_NDCG@5_vs_A0,delta_NDCG@5_vs_A0_ci_low,delta_NDCG@5_vs_A0_ci_high,delta_MRR_vs_A0,delta_MRR_vs_A0_ci_low,delta_MRR_vs_A0_ci_high,delta_NDCG@10_vs_A0,delta_NDCG@10_vs_A0_ci_low,delta_NDCG@10_vs_A0_ci_high,delta_NDCG@5_vs_A1a,delta_NDCG@5_vs_A1a_ci_low,delta_NDCG@5_vs_A1a_ci_high,delta_MRR_vs_A1a,delta_MRR_vs_A1a_ci_low,delta_MRR_vs_A1a_ci_high,delta_NDCG@10_vs_A1a,delta_NDCG@10_vs_A1a_ci_low,delta_NDCG@10_vs_A1a_ci_high,unconstrained_best,best_NDCG@5_standard_error,one_se_threshold,eligible_one_se,selected_one_se
W_rna0.60_protein0.10_confidence0.30,0.6,0.1,0.3,full,0.36666666666666664,0.24361111111111108,0.4215802700114052,0.42000000000000004,0.4413888888888889,0.49804040612567474,0.35,0.7738888888888888,0.5961000464199713,0.6491666666666667,0.45105820105820105,10,48,48,1.0,2,2,0.3999999999999999,0.5,0.03849667520732885,-0.0038375025124466277,0.08896893317912763,0.07222222222222222,0.004166666666666666,0.18333333333333335,-0.03302528016195366,-0.08941289056260039,0.02365815155384134,-0.004702350558820317,-0.06325138637475598,0.04852285551163228,0.00555555555555555,-0.14444444444444443,0.15416666666666665,-0.0422149589567031,-0.11131298929662706,0.02000465198419768,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.65_protein0.10_confidence0.25,0.65,0.1,0.25,full,0.36666666666666664,0.24361111111111108,0.4215802700114052,0.42000000000000004,0.4413888888888889,0.49804040612567474,0.34,0.7488888888888889,0.5820668547355522,0.6467857142857143,0.4742063492063492,10,48,48,1.0,2,2,0.3999999999999999,0.3999999999999999,0.03849667520732885,-0.0007248095761784145,0.0859962787130547,0.06984126984126984,0.001785714285714285,0.17084325396825384,-0.04705847184637267,-0.1108789619696653,0.017692307741661306,-0.004702350558820317,-0.060278731908683034,0.04852285551163227,0.003174603174603169,-0.14682539682539683,0.15178571428571427,-0.05624815064112211,-0.13318428828438464,0.014485478251107922,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.80_protein0.00_confidence0.20,0.8,0.0,0.2,direct_off,0.4333333333333333,0.28027777777777774,0.4796835693239213,0.4,0.4302777777777778,0.4976990267773978,0.38,0.8230555555555557,0.6319619321494322,0.6967857142857142,0.49537037037037035,10,48,48,1.0,2,2,0.6000000000000001,0.09999999999999995,0.03815529585905189,0.0,0.08034943510863206,0.11984126984126983,0.002777777777777779,0.27123015873015877,0.0028366055675073166,-0.05581466813620686,0.05926850825456855,-0.005043729907097278,-0.013924962326641182,0.0,0.05317460317460317,0.0,0.15357142857142855,-0.0063530732272421234,-0.03508352500710355,0.020097221252295523,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.75_protein0.05_confidence0.20,0.75,0.05,0.2,full,0.4,0.26361111111111113,0.45621963302278346,0.4,0.4302777777777778,0.4953478514979876,0.38,0.8230555555555557,0.6296132454393979,0.6967857142857142,0.49537037037037035,10,48,48,1.0,2,2,0.5,0.19999999999999998,0.035804120579641725,0.00632871626205207,0.0760488573690554,0.11984126984126983,0.001785714285714285,0.2847222222222222,0.00048791885747297983,-0.05396648315194421,0.055130856347929275,-0.007394905186507444,-0.017762464839087812,-0.0006031136973253248,0.05317460317460317,0.0013888888888888896,0.15357142857142855,-0.00870175993727646,-0.03729257088468166,0.016548101285276843,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.60_protein0.15_confidence0.25,0.6,0.15,0.25,full,0.4,0.2602777777777778,0.4450442063125431,0.4,0.4302777777777778,0.4872710736538507,0.35,0.7738888888888888,0.595153379655453,0.6467857142857143,0.474537037037037,10,48,48,1.0,2,2,0.29999999999999993,0.5,0.027727342735504833,-0.0023511752794101613,0.0662844114138004,0.06984126984126984,0.002777777777777779,0.18333333333333335,-0.03397194692647191,-0.0878524301984295,0.021052588990150944,-0.01547168303064433,-0.07104806438050706,0.03775352303980826,0.003174603174603169,-0.14682539682539683,0.15178571428571427,-0.04316162572122135,-0.11141374632927258,0.016584795601809445,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.65_protein0.20_confidence0.15,0.65,0.2,0.15,full,0.4333333333333333,0.28027777777777774,0.4450442063125431,0.42000000000000004,0.4413888888888889,0.48578474642081426,0.39,0.8480555555555556,0.6195496340539425,0.5769444444444445,0.5125661375661376,10,48,48,1.0,2,2,0.19999999999999996,0.39999999999999997,0.02624101550246837,0.0,0.06560253875617092,0.0,0.0,0.0,-0.009575692527982415,-0.04873647451493864,0.026365779587981364,-0.016958010263680802,-0.05531464700081436,0.008881232419543906,-0.06666666666666668,-0.16666666666666669,0.0,-0.018765371322731855,-0.05403095891767797,0.0036546078399370074,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.70_protein0.15_confidence0.15,0.7,0.15,0.15,full,0.4333333333333333,0.28027777777777774,0.43889995151709443,0.42000000000000004,0.4413888888888889,0.4813441302110423,0.38,0.8369444444444444,0.6097708348134419,0.5769444444444445,0.5125661375661376,10,48,48,1.0,2,2,0.29999999999999993,0.30000000000000004,0.021800399292696414,0.0,0.052482031004936716,0.0,0.0,0.0,-0.019354491768482973,-0.05553081460676772,0.015845856532637925,-0.021398626473452753,-0.05531464700081436,0.0,-0.06666666666666668,-0.16666666666666669,0.0,-0.028544170563232413,-0.06661050168684371,0.0005122698009315974,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.75_protein0.10_confidence0.15,0.75,0.1,0.15,full,0.4333333333333333,0.28027777777777774,0.43889995151709443,0.42000000000000004,0.4413888888888889,0.4813441302110423,0.37,0.8202777777777778,0.602135821857767,0.5769444444444445,0.5122354497354498,10,48,48,1.0,2,2,0.3999999999999999,0.19999999999999998,0.021800399292696414,0.0,0.052280690126855066,0.0,0.0,0.0,-0.026989504724157766,-0.057611773189721355,-0.00039622442399365185,-0.021398626473452753,-0.05531464700081436,0.0,-0.06666666666666668,-0.16666666666666669,0.0,-0.036179183518907206,-0.07623519294160636,0.0,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.85_protein0.05_confidence0.10,0.85,0.05,0.1,full,0.4333333333333333,0.28027777777777774,0.45621963302278346,0.4,0.4288888888888889,0.4786844611173975,0.36,0.7813888888888889,0.5966369623167049,0.6258333333333334,0.5228174603174603,10,48,48,1.0,2,2,0.5999999999999999,0.09999999999999999,0.019140730199051593,-0.02829757089878785,0.06513247980490158,0.04888888888888889,-0.0033333333333333296,0.15,-0.032488364265219935,-0.09503552318649777,0.02432826823738334,-0.024058295567097578,-0.05235586646588543,-0.004440616209771953,-0.017777777777777778,-0.05111111111111112,0.0,-0.041678043059969375,-0.08865077425398012,-0.00837882913898263,False,0.11318334085062348,0.4253635364135134,True,False
W_rna0.80_protein0.10_confidence0.10,0.8,0.1,0.1,full,0.36666666666666664,0.24916666666666668,0.40929176042050786,0.4,0.4288888888888889,0.4775249931879332,0.37,0.7980555555555556,0.6035533423279972,0.6174999999999999,0.5228174603174603,10,48,48,1.0,2,2,0.49999999999999994,0.19999999999999993,0.017981262269587232,-0.026241015502468358,0.06099731264699217,0.04055555555555556,-0.024999999999999994,0.1488888888888889,-0.025571984253927676,-0.08880019356751863,0.03105763832809999,-0.025217763496561935,-0.05340818145919681,0.0,-0.026111111111111106,-0.0761111111111111,0.0,-0.034761663048677116,-0.08279663926550691,-0.004483586795578459,False,0.11318334085062348,0.4253635364135134,True,False
