config,gene,rna_w,protein_w,confidence_w,protein_mode,n_candidates,n_pos_gold,n_pos_found,n_neg_gold,n_neg_found,P@3,Recall@3,NDCG@3,P@5,Recall@5,NDCG@5,P@10,Recall@10,NDCG@10,MRR,neg_sink
W_rna0.55_protein0.30_confidence0.15,MET,0.55,0.3,0.15,full,1513,5,5,1,1,0.6666666666666666,0.4,0.5307212739772434,0.4,0.4,0.38356636737133565,0.4,0.8,0.5926568948615111,0.5,0.7757936507936508
W_rna0.50_protein0.30_confidence0.20,MET,0.5,0.3,0.2,full,1513,5,5,1,1,0.3333333333333333,0.2,0.2960819109658652,0.4,0.4,0.36005461457723403,0.4,0.8,0.5601912955315027,0.5,0.7559523809523809
W_rna0.90_protein0.00_confidence0.10,MITF,0.9,0.0,0.1,direct_off,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7653606369886217,0.6,0.5,0.6992148198508501,0.5,0.8333333333333334,0.8191079142140381,1.0,
W_rna0.85_protein0.00_confidence0.15,MITF,0.85,0.0,0.15,direct_off,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7039180890341347,0.6,0.5,0.639945385422766,0.5,0.8333333333333334,0.7742158010001621,1.0,
W_rna0.80_protein0.00_confidence0.20,MITF,0.8,0.0,0.2,direct_off,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7039180890341347,0.6,0.5,0.639945385422766,0.5,0.8333333333333334,0.7742158010001621,1.0,
W_rna0.75_protein0.00_confidence0.25,MITF,0.75,0.0,0.25,direct_off,1513,6,6,0,0,0.3333333333333333,0.16666666666666666,0.46927872602275644,0.6,0.5,0.6164336326286644,0.5,0.8333333333333334,0.7532383601611259,1.0,
W_rna0.70_protein0.00_confidence0.30,MITF,0.7,0.0,0.3,direct_off,1513,6,6,0,0,0.3333333333333333,0.16666666666666666,0.46927872602275644,0.6,0.5,0.6164336326286644,0.5,0.8333333333333334,0.7532383601611259,1.0,
W_rna0.85_protein0.05_confidence0.10,MITF,0.85,0.05,0.1,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7039180890341347,0.6,0.5,0.639945385422766,0.4,0.6666666666666666,0.6787553679106947,1.0,
W_rna0.80_protein0.05_confidence0.15,MITF,0.8,0.05,0.15,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7039180890341347,0.6,0.5,0.639945385422766,0.5,0.8333333333333334,0.766227082012103,1.0,
W_rna0.75_protein0.05_confidence0.20,MITF,0.75,0.05,0.2,full,1513,6,6,0,0,0.3333333333333333,0.16666666666666666,0.46927872602275644,0.6,0.5,0.6164336326286644,0.5,0.8333333333333334,0.7488703302951166,1.0,
W_rna0.70_protein0.05_confidence0.25,MITF,0.7,0.05,0.25,full,1513,6,6,0,0,0.3333333333333333,0.16666666666666666,0.46927872602275644,0.6,0.5,0.6164336326286644,0.5,0.8333333333333334,0.7488703302951166,1.0,
W_rna0.65_protein0.05_confidence0.30,MITF,0.65,0.05,0.3,full,1513,6,6,0,0,0.3333333333333333,0.16666666666666666,0.46927872602275644,0.6,0.5,0.6164336326286644,0.5,0.8333333333333334,0.7452496411730668,1.0,
W_rna0.80_protein0.10_confidence0.10,MITF,0.8,0.1,0.1,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7039180890341347,0.6,0.5,0.6548086577531307,0.5,0.8333333333333334,0.7671595333494663,1.0,
W_rna0.75_protein0.10_confidence0.15,MITF,0.75,0.1,0.15,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7039180890341347,0.6,0.5,0.639945385422766,0.4,0.6666666666666666,0.6787553679106947,1.0,
W_rna0.70_protein0.10_confidence0.20,MITF,0.7,0.1,0.2,full,1513,6,6,0,0,0.3333333333333333,0.16666666666666666,0.46927872602275644,0.6,0.5,0.6164336326286644,0.4,0.6666666666666666,0.6577779270716585,1.0,
W_rna0.65_protein0.10_confidence0.25,MITF,0.65,0.1,0.25,full,1513,6,6,0,0,0.3333333333333333,0.16666666666666666,0.46927872602275644,0.6,0.5,0.6164336326286644,0.4,0.6666666666666666,0.6577779270716585,1.0,
W_rna0.60_protein0.10_confidence0.30,MITF,0.6,0.1,0.3,full,1513,6,6,0,0,0.3333333333333333,0.16666666666666666,0.46927872602275644,0.6,0.5,0.6164336326286644,0.4,0.6666666666666666,0.6577779270716585,1.0,
W_rna0.75_protein0.15_confidence0.10,MITF,0.75,0.15,0.1,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7039180890341347,0.4,0.3333333333333333,0.5087403079104241,0.5,0.8333333333333334,0.7402568920975973,1.0,
W_rna0.70_protein0.15_confidence0.15,MITF,0.7,0.15,0.15,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7039180890341347,0.6,0.5,0.639945385422766,0.5,0.8333333333333334,0.7593053986538632,1.0,
W_rna0.65_protein0.15_confidence0.20,MITF,0.65,0.15,0.2,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7039180890341347,0.6,0.5,0.639945385422766,0.4,0.6666666666666666,0.6787553679106947,1.0,
W_rna0.60_protein0.15_confidence0.25,MITF,0.6,0.15,0.25,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7039180890341347,0.6,0.5,0.639945385422766,0.4,0.6666666666666666,0.6787553679106947,1.0,
W_rna0.55_protein0.15_confidence0.30,MITF,0.55,0.15,0.3,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7039180890341347,0.6,0.5,0.639945385422766,0.4,0.6666666666666666,0.6787553679106947,1.0,
W_rna0.70_protein0.20_confidence0.10,MITF,0.7,0.2,0.1,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7653606369886217,0.4,0.3333333333333333,0.5531464700081437,0.4,0.6666666666666666,0.6854831540674773,1.0,
W_rna0.65_protein0.20_confidence0.15,MITF,0.65,0.2,0.15,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7653606369886217,0.6,0.5,0.6843515475204855,0.5,0.8333333333333334,0.789149990140578,1.0,
W_rna0.60_protein0.20_confidence0.20,MITF,0.6,0.2,0.2,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7653606369886217,0.6,0.5,0.6843515475204855,0.5,0.8333333333333334,0.8058467414416309,1.0,
W_rna0.55_protein0.20_confidence0.25,MITF,0.55,0.2,0.25,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7653606369886217,0.6,0.5,0.6843515475204855,0.4,0.6666666666666666,0.7183750273402227,1.0,
W_rna0.50_protein0.20_confidence0.30,MITF,0.5,0.2,0.3,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7039180890341347,0.6,0.5,0.639945385422766,0.4,0.6666666666666666,0.6718336845524548,1.0,
W_rna0.65_protein0.25_confidence0.10,MITF,0.65,0.25,0.1,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7653606369886217,0.4,0.3333333333333333,0.5531464700081437,0.4,0.6666666666666666,0.6800761159906735,1.0,
W_rna0.60_protein0.25_confidence0.15,MITF,0.6,0.25,0.15,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7653606369886217,0.4,0.3333333333333333,0.5531464700081437,0.4,0.6666666666666666,0.6854831540674773,1.0,
W_rna0.55_protein0.25_confidence0.20,MITF,0.55,0.25,0.2,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7653606369886217,0.6,0.5,0.6843515475204855,0.5,0.8333333333333334,0.789149990140578,1.0,
W_rna0.50_protein0.25_confidence0.25,MITF,0.5,0.25,0.25,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7653606369886217,0.6,0.5,0.6843515475204855,0.5,0.8333333333333334,0.7989250580833912,1.0,
W_rna0.60_protein0.30_confidence0.10,MITF,0.6,0.3,0.1,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7653606369886217,0.4,0.3333333333333333,0.5531464700081437,0.3,0.5,0.5889837127672154,1.0,
W_rna0.55_protein0.30_confidence0.15,MITF,0.55,0.3,0.15,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7653606369886217,0.4,0.3333333333333333,0.5531464700081437,0.4,0.6666666666666666,0.6800761159906735,1.0,
W_rna0.50_protein0.30_confidence0.20,MITF,0.5,0.3,0.2,full,1513,6,6,0,0,0.6666666666666666,0.3333333333333333,0.7653606369886217,0.4,0.3333333333333333,0.5531464700081437,0.4,0.6666666666666666,0.6854831540674773,1.0,
W_rna0.90_protein0.00_confidence0.10,MSLN,0.9,0.0,0.1,direct_off,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.123151194370365,0.125,
W_rna0.85_protein0.00_confidence0.15,MSLN,0.85,0.0,0.15,direct_off,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.75,0.3535124404757274,0.125,
W_rna0.80_protein0.00_confidence0.20,MSLN,0.8,0.0,0.2,direct_off,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2429718246796358,0.14285714285714285,
W_rna0.75_protein0.00_confidence0.25,MSLN,0.75,0.0,0.25,direct_off,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2429718246796358,0.14285714285714285,
W_rna0.70_protein0.00_confidence0.30,MSLN,0.7,0.0,0.3,direct_off,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.13905617951077562,0.16666666666666666,
W_rna0.85_protein0.05_confidence0.10,MSLN,0.85,0.05,0.1,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.123151194370365,0.125,
W_rna0.80_protein0.05_confidence0.15,MSLN,0.8,0.05,0.15,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.75,0.3535124404757274,0.125,
W_rna0.75_protein0.05_confidence0.20,MSLN,0.75,0.05,0.2,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2476427880871277,0.14285714285714285,
W_rna0.70_protein0.05_confidence0.25,MSLN,0.7,0.05,0.25,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2429718246796358,0.14285714285714285,
W_rna0.65_protein0.05_confidence0.30,MSLN,0.65,0.05,0.3,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.13905617951077562,0.16666666666666666,
W_rna0.80_protein0.10_confidence0.10,MSLN,0.8,0.1,0.1,full,1513,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.123151194370365,0.125,
