panel,panel_stratum,config,description,n_genes,genes_with_protein,mean_candidates,ranking_identical_rate_vs_A0,top10_identical_rate_vs_A0,mean_top10_jaccard_vs_A0,top1_change_rate_vs_A0,mean_rank_spearman_vs_A0,mean_abs_rank_change_vs_A0,mean_abs_score_change_vs_A0,confidence_constant_rate,mean_final_score_std,mean_confidence_std,mean_largest_tie_size,mean_tied_candidate_fraction
coverage_stratified,depmap_rna_only,A2_no_confidence,Remove the full confidence block; renormalise RNA/protein,25,0,1412.0,0.92,1.0,1.0,0.0,0.9999998821107061,0.0023512747875354106,0.056307073654390936,1.0,0.07528152584636782,1.099120794378905e-14,1011.2,0.9730878186968838
coverage_stratified,depmap_rna_only,A2a_no_conf_completeness,Remove completeness from confidence; renormalise retained components,25,0,1412.0,0.8,1.0,1.0,0.0,0.9999996552161707,0.007507082152974505,0.00878524079320113,1.0,0.06399263676656622,5.6066262743570405e-15,1011.2,0.9732577903682719
coverage_stratified,depmap_rna_only,A2b_no_conf_source_support,Remove source support from confidence; renormalise retained components,25,0,1412.0,0.84,1.0,1.0,0.0,0.9999996410373925,0.0058640226628895184,0.013107750708215299,1.0,0.06398928904588291,0.0,1011.2,0.9732011331444759
coverage_stratified,depmap_rna_only,A2c_no_conf_consistency,Remove RNA-protein consistency; renormalise retained components,25,0,1412.0,0.84,1.0,1.0,0.0,0.9999996410373925,0.0058640226628895184,0.004392249291784698,1.0,0.06398928904588275,5.828670879282072e-15,1011.2,0.9732011331444759
coverage_stratified,depmap_rna_only,A3_equal_bio,Equal RNA/protein biological weights,25,0,1412.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.06398526733601,1.099120794378905e-14,1011.2,0.9732577903682719
coverage_stratified,depmap_rna_only,A3b_reversed_bio,Protein biological weight greater than RNA,25,0,1412.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.06398526733601,1.099120794378905e-14,1011.2,0.9732577903682719
coverage_stratified,depmap_rna_only,A4_adaptive_trust,Team baseline plus gene-level adaptive RNA trust,25,0,1412.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.06398526733601,1.099120794378905e-14,1011.2,0.9732577903682719
coverage_stratified,depmap_rna_only,A5_v3_structure,Flat v3 RNA/protein/consistency/completeness structure,25,0,1412.0,0.84,1.0,1.0,0.0,0.9999998067469158,0.0035694050991501415,0.006052504249291781,1.0,0.06692533882851218,1.099120794378905e-14,1011.2,0.9732011331444759
coverage_stratified,depmap_rna_only,A6_v3_full,Flat v3 structure plus adaptive trust,25,0,1412.0,0.84,1.0,1.0,0.0,0.9999998067469158,0.0035694050991501415,0.006052504249291781,1.0,0.06692533882851218,1.099120794378905e-14,1011.2,0.9732011331444759
coverage_stratified,depmap_rna_only,B0_rna_mean,RNA-only mean ranking; no protein or confidence in final score,25,0,1412.0,0.92,1.0,1.0,0.0,0.9999998821107061,0.0023512747875354106,0.056307073654390936,1.0,0.07528152584636782,8.770761894538737e-15,1011.2,0.9730878186968838
coverage_stratified,multisource_rna_no_protein,A0_team_baseline,"Team baseline: RNA .55, protein .30, confidence .15",25,0,1495.24,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08140700027995158,0.05401050441213682,360.88,0.7444253685762238
coverage_stratified,multisource_rna_no_protein,A1a_no_direct_protein,Remove direct protein; retain protein-derived confidence,25,0,1495.24,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08140700027995158,0.05401050441213682,360.88,0.7444253685762238
coverage_stratified,multisource_rna_no_protein,A1b_no_protein_evidence,Remove direct protein and all protein-derived confidence,25,0,1495.24,0.08,0.68,0.9418181818181819,0.040000000000000036,0.9893023282347733,25.418853262689925,0.05052054910021011,0.0,0.08280903909928979,0.09600508583583173,360.16,0.7373182374255997
coverage_stratified,multisource_rna_no_protein,A1c_no_protein_confidence,Retain direct protein; remove protein-derived confidence only,25,0,1495.24,0.08,0.68,0.9418181818181819,0.040000000000000036,0.9893023282347733,25.418853262689925,0.05052054910021011,0.0,0.08280903909928979,0.09600508583583173,360.16,0.7373182374255997
