query_id,target_gene,exclusion_gene,disease_context,profile,max_exclusion_penalty,DepMap_ID,cell_line,lineage,primary_disease,exclusion_evidence_observed,exclusion_expression_std_mean,exclusion_scaled_within_query,rna_score,protein_score,biological_score,confidence_score,exclusion_penalty,final_score,production_ordinal_rank,score_tie_rank_min,score_tie_rank_max,score_tie_rank_mid,final_score_tie_size,full_comparator_tie_size,p00_final_score,p00_score_tie_rank_mid,realised_score_drop_vs_P00,rank_change_vs_P00_positive_is_down,in_top10_with_ties,in_P00_top10_with_ties,score_clipped_to_zero
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-000398,RI1,lymphocyte,Lymphoma,True,3.3535083270940214,0.62995418205348,0.1025,,0.1025,0.5875,0.189,0.0,209,201,239,220.0,39,17,0.1752,132.0,0.1752,88.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-000611,SUDHL6,lymphocyte,Lymphoma,True,3.7555048509610516,0.6959619322659273,0.1,,0.1,0.5875,0.2088,0.0,210,201,239,220.0,39,17,0.1731,135.0,0.1731,85.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-000654,RAJI,lymphocyte,Lymphoma,True,3.251275245591946,0.6131675301632514,0.0752,,0.0752,0.5875,0.184,0.0,211,201,239,220.0,39,17,0.152,165.0,0.152,55.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-000702,L1236,lymphocyte,Lymphoma,True,5.286016007944231,0.947271563443052,0.1234,,0.1234,0.5875,0.2842,0.0,212,201,239,220.0,39,17,0.1931,107.0,0.1931,113.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-000754,L428,lymphocyte,Lymphoma,True,4.501172820914646,0.8184004663822079,0.0941,,0.0941,0.5875,0.2455,0.0,213,201,239,220.0,39,17,0.1681,142.0,0.1681,78.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-000786,DAUDI,lymphocyte,Lymphoma,True,3.3142876202772107,0.6235141497024141,0.0917,,0.0917,0.5875,0.1871,0.0,214,201,239,220.0,39,17,0.1661,146.0,0.1661,74.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-000806,L540,lymphocyte,Lymphoma,True,4.345413942308444,0.792824889127192,0.1146,,0.1146,0.5875,0.2378,0.0,215,201,239,220.0,39,17,0.1856,116.0,0.1856,104.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-000914,HT,lymphocyte,Lymphoma,True,3.1300798917706825,0.5932672768849687,0.1009,,0.1009,0.5875,0.178,0.0,216,201,239,220.0,39,17,0.1739,134.0,0.1739,86.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-001498,FARAGE,lymphocyte,Lymphoma,True,3.477947483621753,0.650387067098643,0.0767,,0.0767,0.5875,0.1951,0.0,217,201,239,220.0,39,17,0.1533,163.0,0.1533,57.0,False,False,True
Q03_CD3E_CD86_BLOOD,CD3E,CD86,blood,P30_team_baseline,0.3,ACH-000080,BDCM,blood,Leukemia,True,3.5186404106733793,0.6570688377229221,0.1046,,0.1046,0.5,0.1971,0.0,218,201,239,220.0,39,11,0.1639,151.0,0.1639,69.0,False,False,True
